Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,00-0000,"Total, All Occupations",9541880,82547,59959,38047,104798
1,36,New York State,11-0000,Management Occupations,642760,185912,160736,84848,236445
1,36,New York State,11-1011,Chief Executives,7830,349390,223383,141073,453549
1,36,New York State,11-1021,General and Operations Managers,210890,172751,132400,70526,223863
1,36,New York State,11-1031,Legislators,1440,122566,98852,43914,161892
1,36,New York State,11-2011,Advertising and Promotions Managers,3570,236756,207941,130706,289781
1,36,New York State,11-2021,Marketing Managers,49480,199351,175789,108963,244546
1,36,New York State,11-2022,Sales Managers,35160,256166,218325,131397,318550
1,36,New York State,11-2032,Public Relations Managers,7330,218918,177006,121332,267711
1,36,New York State,11-2033,Fundraising Managers,4280,180140,169503,111352,214534
1,36,New York State,11-3012,Administrative Services Managers,14140,154140,134951,88651,186885
1,36,New York State,11-3013,Facilities Managers,9140,143113,130421,85570,171885
1,36,New York State,11-3021,Computer and Information Systems Managers,40780,226279,213876,142753,268042
1,36,New York State,11-3031,Financial Managers,67510,248776,219739,134809,305760
1,36,New York State,11-3051,Industrial Production Managers,6250,142035,131031,89122,168491
1,36,New York State,11-3061,Purchasing Managers,5980,183727,168009,110579,220300
1,36,New York State,11-3071,"Transportation, Storage, and Distribution Managers",6280,137606,123563,84483,164167
1,36,New York State,11-3111,Compensation and Benefits Managers,1760,195347,179665,123520,231261
1,36,New York State,11-3121,Human Resources Managers,16720,195603,174619,111978,237416
1,36,New York State,11-3131,Training and Development Managers,3380,180067,168107,106724,216737
1,36,New York State,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,86253,79578,53883,102439
1,36,New York State,11-9021,Construction Managers,8170,158652,138039,91027,192465
1,36,New York State,11-9031,"Education Administrators, Preschool and Childcare Center/Program",3810,94541,81140,56446,113589
1,36,New York State,11-9032,"Education Administrators, Elementary and Secondary School",19300,145027,140424,95664,169708
1,36,New York State,11-9033,"Education Administrators, Postsecondary",7340,160766,138697,97726,192284
1,36,New York State,11-9039,"Education Administrators, All Other",2820,110193,95281,67813,131383
1,36,New York State,11-9041,Architectural and Engineering Managers,7330,188963,176749,132959,216965
1,36,New York State,11-9051,Food Service Managers,12260,90967,81661,59967,106468
1,36,New York State,11-9071,Gaming Managers,,103251,95893,70052,119850
1,36,New York State,11-9072,"Entertainment and Recreation Managers, Except Gambling",850,105941,99303,61621,128101
1,36,New York State,11-9081,Lodging Managers,3130,90109,78164,50918,109705
1,36,New York State,11-9111,Medical and Health Services Managers,31010,180513,152599,101535,220002
1,36,New York State,11-9121,Natural Sciences Managers,4580,148596,133614,67626,189081
1,36,New York State,11-9131,Postmasters and Mail Superintendents,830,97288,94955,86778,102543
1,36,New York State,11-9141,"Property, Real Estate, and Community Association Managers",12940,104998,78751,62885,126056
1,36,New York State,11-9151,Social and Community Service Managers,17850,101897,94871,66834,119428
1,36,New York State,11-9161,Emergency Management Directors,750,114956,91797,66264,139302
1,36,New York State,11-9171,Funeral Home Managers,630,103481,79601,61309,124568
1,36,New York State,11-9179,"Personal Service Managers, All Other",380,76171,63219,38631,94941
1,36,New York State,11-9199,"Managers, All Other",16640,175709,164350,98234,214445
1,36,New York State,13-0000,Business and Financial Operations Occupations,710720,116230,100669,63142,142773
1,36,New York State,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2660,155715,82984,55176,205984
1,36,New York State,13-1020,Buyers and Purchasing Agents,31440,87873,80504,55052,104283
1,36,New York State,13-1031,"Claims Adjusters, Examiners, and Investigators",16780,89656,83662,60849,104059
1,36,New York State,13-1032,"Insurance Appraisers, Auto Damage",380,85512,80517,70011,93262
1,36,New York State,13-1041,Compliance Officers,23690,94022,88493,58178,111944
1,36,New York State,13-1051,Cost Estimators,9790,97353,84474,58914,116573
1,36,New York State,13-1071,Human Resources Specialists,53030,93189,82643,56825,111371
1,36,New York State,13-1075,Labor Relations Specialists,6990,111937,100023,67299,134255
1,36,New York State,13-1081,Logisticians,6560,95564,84610,61159,112766
1,36,New York State,13-1082,Project Management Specialists,68340,123281,112537,76304,146769
1,36,New York State,13-1111,Management Analysts,65390,126816,108910,70109,155170
1,36,New York State,13-1121,"Meeting, Convention, and Event Planners",11720,88611,74585,48220,108806
1,36,New York State,13-1131,Fundraisers,11380,83877,78913,54138,98747
1,36,New York State,13-1141,"Compensation, Benefits, and Job Analysis Specialists",9280,93236,83475,61744,108983
1,36,New York State,13-1151,Training and Development Specialists,25510,80827,74911,45793,98345
1,36,New York State,13-1161,Market Research Analysts and Marketing Specialists,75100,101502,93547,59806,122350
1,36,New York State,13-1199,"Business Operations Specialists, All Other",31170,96239,85872,54286,117215
1,36,New York State,13-2011,Accountants and Auditors,111860,117627,103671,69513,141684
1,36,New York State,13-2020,Appraisers and Assessors of Real Estate,3280,89803,79127,54509,107450
1,36,New York State,13-2031,Budget Analysts,2740,95948,87912,66164,110839
1,36,New York State,13-2041,Credit Analysts,7900,149902,135145,83541,183082
1,36,New York State,13-2051,Financial Analysts,47130,149991,128926,86765,181604
1,36,New York State,13-2052,Personal Financial Advisors,28820,230121,171085,83656,303354
1,36,New York State,13-2053,Insurance Underwriters,7530,100008,85530,57773,121125
1,36,New York State,13-2054,Financial Risk Specialists,10980,158143,140898,93917,190255
1,36,New York State,13-2061,Financial Examiners,10580,140627,129552,80607,170636
1,36,New York State,13-2071,Credit Counselors,1760,69247,63244,50572,78584
1,36,New York State,13-2072,Loan Officers,11850,124439,100769,57801,157758
1,36,New York State,13-2081,"Tax Examiners and Collectors, and Revenue Agents",3430,79846,72349,51409,94064
1,36,New York State,13-2082,Tax Preparers,6880,75935,74584,44779,91513
1,36,New York State,13-2099,"Financial Specialists, All Other",6760,167029,124776,74155,213466
1,36,New York State,15-0000,Computer and Mathematical Occupations,299980,131038,122710,68460,162328
1,36,New York State,15-1211,Computer Systems Analysts,20950,118382,108477,74647,140251
1,36,New York State,15-1212,Information Security Analysts,8860,143333,134662,88589,170706
1,36,New York State,15-1221,Computer and Information Research Scientists,1320,207271,202751,117734,252040
1,36,New York State,15-1231,Computer Network Support Specialists,6450,87059,80544,56973,102102
1,36,New York State,15-1232,Computer User Support Specialists,41260,72335,65650,46001,85502
1,36,New York State,15-1241,Computer Network Architects,9180,148851,139931,95960,175297
1,36,New York State,15-1242,Database Administrators,3680,116140,109844,69649,139386
1,36,New York State,15-1243,Database Architects,4180,141589,131755,90163,167303
1,36,New York State,15-1244,Network and Computer Systems Administrators,19770,114470,106874,74682,134364
1,36,New York State,15-1251,Computer Programmers,7090,111873,103135,68799,133410
1,36,New York State,15-1252,Software Developers,104130,164333,165642,100821,196089
1,36,New York State,15-1253,Software Quality Assurance Analysts and Testers,11140,123630,111755,73804,148544
1,36,New York State,15-1254,Web Developers,6340,81530,69229,40709,101941
1,36,New York State,15-1255,Web and Digital Interface Designers,14840,128674,125005,66640,159692
1,36,New York State,15-1299,"Computer Occupations, All Other",9860,118196,108065,62301,146144
1,36,New York State,15-2011,Actuaries,3090,156613,137361,88113,190862
1,36,New York State,15-2021,Mathematicians,,126543,101302,83189,148221
1,36,New York State,15-2031,Operations Research Analysts,6020,120294,112416,64873,148004
1,36,New York State,15-2041,Statisticians,1490,151483,154326,85431,184509
1,36,New York State,15-2051,Data Scientists,20070,137082,128808,74616,168314
1,36,New York State,15-2099,"Mathematical Science Occupations, All Other",,111172,89371,43719,144900
1,36,New York State,17-0000,Architecture and Engineering Occupations,106090,106616,98839,65793,127028
1,36,New York State,17-1011,"Architects, Except Landscape and Naval",10930,116179,101261,68341,140098
1,36,New York State,17-1012,Landscape Architects,,98291,92385,69004,112934
1,36,New York State,17-1021,Cartographers and Photogrammetrists,,96305,95562,71918,108500
1,36,New York State,17-1022,Surveyors,1570,88368,81194,57750,103677
1,36,New York State,17-2011,Aerospace Engineers,730,134596,128669,91316,156237
1,36,New York State,17-2021,Agricultural Engineers,,77288,69171,60352,85756
1,36,New York State,17-2031,Biomedical Engineers,920,125171,120364,84722,145395
1,36,New York State,17-2041,Chemical Engineers,560,125121,136080,85113,145126
1,36,New York State,17-2051,Civil Engineers,17000,119797,105222,78195,140598
1,36,New York State,17-2061,Computer Hardware Engineers,2500,150879,145634,96240,178198
1,36,New York State,17-2071,Electrical Engineers,7720,121994,115605,82475,141754
1,36,New York State,17-2072,"Electronics Engineers, Except Computer",2180,123653,118335,83439,143760
1,36,New York State,17-2081,Environmental Engineers,2560,108393,100535,70498,127341
1,36,New York State,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1600,124637,122261,85817,144047
1,36,New York State,17-2112,Industrial Engineers,12640,112003,104538,78146,128932
1,36,New York State,17-2121,Marine Engineers and Naval Architects,,120585,112000,106006,127876
1,36,New York State,17-2131,Materials Engineers,750,124740,125293,80203,147010
1,36,New York State,17-2141,Mechanical Engineers,8420,118034,107984,78816,137642
1,36,New York State,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,96354,82167,67845,110608
1,36,New York State,17-2161,Nuclear Engineers,,160485,163620,117443,182006
1,36,New York State,17-2171,Petroleum Engineers,,131445,97795,75895,159220
1,36,New York State,17-2199,"Engineers, All Other",5020,122159,116462,79445,143517
1,36,New York State,17-3011,Architectural and Civil Drafters,8010,78942,76790,55790,90518
1,36,New York State,17-3012,Electrical and Electronics Drafters,930,100417,90481,62811,119220
1,36,New York State,17-3013,Mechanical Drafters,2030,77013,71328,55835,87602
1,36,New York State,17-3019,"Drafters, All Other",910,73583,64752,53948,83401
1,36,New York State,17-3021,Aerospace Engineering and Operations Technicians,,65344,64352,52172,71929
1,36,New York State,17-3022,Civil Engineering Technicians,1260,67139,65528,45544,77936
1,36,New York State,17-3023,Electrical and Electronic Engineering Technicians,4270,80269,79655,54809,93000
1,36,New York State,17-3024,Electro-Mechanical Technicians,430,81624,76289,54557,95157
1,36,New York State,17-3025,Environmental Engineering Technicians,800,64070,61644,50542,70834
1,36,New York State,17-3026,Industrial Engineering Technicians,3910,70512,68646,52039,79749
1,36,New York State,17-3027,Mechanical Engineering Technicians,1390,75547,77741,52629,87006
1,36,New York State,17-3028,Calibration Technologists and Technicians,650,68194,61367,45631,79476
1,36,New York State,17-3029,"Engineering Technicians, Except Drafters, All Other",2200,69099,65825,49317,78990
1,36,New York State,17-3031,Surveying and Mapping Technicians,1900,65850,59472,46211,75670
1,36,New York State,19-0000,"Life, Physical, and Social Science Occupations",81760,95096,82419,55184,115051
1,36,New York State,19-1011,Animal Scientists,,96049,89762,67475,110336
1,36,New York State,19-1012,Food Scientists and Technologists,880,100856,98313,69504,116532
1,36,New York State,19-1013,Soil and Plant Scientists,,81180,72030,59019,92261
1,36,New York State,19-1021,Biochemists and Biophysicists,1660,103496,98006,72160,119164
1,36,New York State,19-1022,Microbiologists,1090,97231,88181,63435,114128
1,36,New York State,19-1029,"Biological Scientists, All Other",2610,113650,95596,69572,135689
1,36,New York State,19-1031,Conservation Scientists,750,84387,67332,46466,103347
1,36,New York State,19-1032,Foresters,280,82742,78819,62841,92694
1,36,New York State,19-1041,Epidemiologists,460,107480,92135,73100,124670
1,36,New York State,19-1042,"Medical Scientists, Except Epidemiologists",8440,109006,87258,67707,129655
1,36,New York State,19-1099,"Life Scientists, All Other",,86506,77958,57650,100934
1,36,New York State,19-2012,Physicists,1190,178916,178892,101716,217516
1,36,New York State,19-2031,Chemists,4040,100481,85962,62717,119361
1,36,New York State,19-2032,Materials Scientists,630,136822,128897,93172,158646
1,36,New York State,19-2041,"Environmental Scientists and Specialists, Including Health",3500,91502,82419,60592,106957
1,36,New York State,19-2042,"Geoscientists, Except Hydrologists and Geographers",700,98154,87215,67087,113687
1,36,New York State,19-2043,Hydrologists,,93434,86614,65569,107367
1,36,New York State,19-2099,"Physical Scientists, All Other",1600,123299,117543,76326,146786
1,36,New York State,19-3011,Economists,870,174130,146171,87653,217369
1,36,New York State,19-3022,Survey Researchers,370,86630,84795,52149,103871
1,36,New York State,19-3033,Clinical and Counseling Psychologists,7190,116047,102630,69176,139483
1,36,New York State,19-3034,School Psychologists,7250,106400,102008,70979,124111
1,36,New York State,19-3039,"Psychologists, All Other",870,110393,116825,61463,134858
1,36,New York State,19-3041,Sociologists,,115113,133716,74691,135323
1,36,New York State,19-3051,Urban and Regional Planners,2100,102754,97313,65425,121419
1,36,New York State,19-3091,Anthropologists and Archeologists,310,66844,54243,42378,79076
1,36,New York State,19-3093,Historians,420,62515,53027,34390,76577
1,36,New York State,19-3099,"Social Scientists and Related Workers, All Other",3090,105542,105357,73364,121631
1,36,New York State,19-4012,Agricultural Technicians,,51533,48165,39605,57498
1,36,New York State,19-4013,Food Science Technicians,750,58409,53963,45565,64832
1,36,New York State,19-4021,Biological Technicians,5040,59970,60349,41981,68964
1,36,New York State,19-4031,Chemical Technicians,2350,61878,59292,44285,70675
1,36,New York State,19-4042,"Environmental Science and Protection Technicians, Including Health",2470,65991,60992,42549,77712
1,36,New York State,19-4043,"Geological Technicians, Except Hydrologic Technicians",,61630,53013,43292,70798
1,36,New York State,19-4044,Hydrologic Technicians,,65262,60165,43776,76005
1,36,New York State,19-4051,Nuclear Technicians,,123010,124758,87231,140899
1,36,New York State,19-4061,Social Science Research Assistants,2990,66018,61745,39695,79179
1,36,New York State,19-4071,Forest and Conservation Technicians,,60357,57874,44947,68062
1,36,New York State,19-4092,Forensic Science Technicians,1120,82655,80293,60228,93870
1,36,New York State,19-4099,"Life, Physical, and Social Science Technicians, All Other",7220,66759,64199,46069,77105
1,36,New York State,19-5011,Occupational Health and Safety Specialists,5520,95021,89960,61377,111843
1,36,New York State,19-5012,Occupational Health and Safety Technicians,1450,67059,63981,48134,76522
1,36,New York State,21-0000,Community and Social Service Occupations,202150,70985,63419,44643,84156
1,36,New York State,21-1012,"Educational, Guidance, School, and Vocational Counselors",22660,79826,71804,50536,94472
1,36,New York State,21-1013,Marriage and Family Therapists,930,68518,66788,50388,77583
1,36,New York State,21-1015,Rehabilitation Counselors,2800,55367,50030,39127,63486
1,36,New York State,21-1018,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",22450,71175,63758,47177,83175
1,36,New York State,21-1019,"Counselors, All Other",610,73173,70437,44423,87547
1,36,New York State,21-1021,"Child, Family, and School Social Workers",27220,77317,67207,53070,89440
1,36,New York State,21-1022,Healthcare Social Workers,22880,74448,69084,50222,86560
1,36,New York State,21-1023,Mental Health and Substance Abuse Social Workers,14180,98851,82408,57286,119634
1,36,New York State,21-1029,"Social Workers, All Other",3190,80090,77058,59548,90362
1,36,New York State,21-1091,Health Educators,3850,66529,61962,45155,77216
1,36,New York State,21-1092,Probation Officers and Correctional Treatment Specialists,4420,81745,82231,61102,92067
1,36,New York State,21-1093,Social and Human Service Assistants,40700,50034,47461,37565,56268
1,36,New York State,21-1094,Community Health Workers,6740,62930,58498,45435,71678
1,36,New York State,21-1099,"Community and Social Service Specialists, All Other",,70622,65586,54498,78683
1,36,New York State,21-2011,Clergy,9210,77169,60583,41023,95242
1,36,New York State,21-2021,"Directors, Religious Activities and Education",4890,72628,56849,39794,89044
1,36,New York State,21-2099,"Religious Workers, All Other",,52716,51605,35597,61275
1,36,New York State,23-0000,Legal Occupations,128570,177133,137100,70550,230425
1,36,New York State,23-1011,Lawyers,91440,213736,182022,96637,272286
1,36,New York State,23-1012,Judicial Law Clerks,900,121389,131249,68130,148017
1,36,New York State,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1390,124196,125905,90277,141155
1,36,New York State,23-1022,"Arbitrators, Mediators, and Conciliators",560,97239,93535,71467,110126
1,36,New York State,23-1023,"Judges, Magistrate Judges, and Magistrates",2460,179982,195050,121405,209271
1,36,New York State,23-2011,Paralegals and Legal Assistants,28510,76608,68194,52132,88846
1,36,New York State,23-2093,"Title Examiners, Abstractors, and Searchers",1530,72036,67300,46591,84759
1,36,New York State,23-2099,"Legal Support Workers, All Other",1780,87920,74928,51518,106121
1,36,New York State,25-0000,"Education, Training, and Library Occupations",697470,84202,73757,39503,106551
1,36,New York State,25-1011,"Business Teachers, Postsecondary",8640,139964,111659,65258,177318
1,36,New York State,25-1021,"Computer Science Teachers, Postsecondary",3360,113376,102027,62923,138602
1,36,New York State,25-1022,"Mathematical Science Teachers, Postsecondary",4170,117371,102158,63632,144241
1,36,New York State,25-1031,"Architecture Teachers, Postsecondary",1660,148445,131938,102631,171351
1,36,New York State,25-1032,"Engineering Teachers, Postsecondary",3840,132592,126211,71492,163142
1,36,New York State,25-1041,"Agricultural Sciences Teachers, Postsecondary",,77223,67504,49133,91269
1,36,New York State,25-1042,"Biological Science Teachers, Postsecondary",3900,123138,102832,65137,152138
1,36,New York State,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2060,120613,104237,59404,151218
1,36,New York State,25-1052,"Chemistry Teachers, Postsecondary",1920,119041,104370,68891,144115
1,36,New York State,25-1053,"Environmental Science Teachers, Postsecondary",620,117420,105661,66757,142750
1,36,New York State,25-1054,"Physics Teachers, Postsecondary",1140,122865,108222,69703,149445
1,36,New York State,25-1061,"Anthropology and Archeology Teachers, Postsecondary",610,122719,105831,69034,149562
1,36,New York State,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1740,110751,99782,67014,132621
1,36,New York State,25-1063,"Economics Teachers, Postsecondary",1360,150705,138132,81703,185207
1,36,New York State,25-1064,"Geography Teachers, Postsecondary",,105501,100617,62233,127136
1,36,New York State,25-1065,"Political Science Teachers, Postsecondary",1460,139068,124901,70030,173587
1,36,New York State,25-1066,"Psychology Teachers, Postsecondary",4120,114941,101308,65635,139594
1,36,New York State,25-1067,"Sociology Teachers, Postsecondary",1280,117490,100997,66385,143042
1,36,New York State,25-1069,"Social Sciences Teachers, Postsecondary, All Other",2210,111805,95281,53158,141128
1,36,New York State,25-1071,"Health Specialties Teachers, Postsecondary",21020,162973,130834,74416,207252
1,36,New York State,25-1072,"Nursing Instructors and Teachers, Postsecondary",5380,101867,96184,55230,125186
1,36,New York State,25-1081,"Education Teachers, Postsecondary",5390,103759,85535,54390,128443
1,36,New York State,25-1082,"Library Science Teachers, Postsecondary",,74786,64846,46957,88699
1,36,New York State,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1050,98366,83160,56277,119409
1,36,New York State,25-1112,"Law Teachers, Postsecondary",2540,157810,131916,74461,199485
1,36,New York State,25-1113,"Social Work Teachers, Postsecondary",1770,108623,103851,69101,128383
1,36,New York State,25-1121,"Art, Drama, and Music Teachers, Postsecondary",17600,148447,112994,64824,190258
1,36,New York State,25-1122,"Communications Teachers, Postsecondary",2930,108525,86718,55780,134897
1,36,New York State,25-1123,"English Language and Literature Teachers, Postsecondary",6330,119731,99573,62363,148415
1,36,New York State,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1610,111904,96839,61320,137196
1,36,New York State,25-1125,"History Teachers, Postsecondary",1780,116893,103926,67062,141808
1,36,New York State,25-1126,"Philosophy and Religion Teachers, Postsecondary",1850,108830,97993,61523,132484
1,36,New York State,25-1192,"Home Economics Teachers, Postsecondary",,79083,81421,56304,90474
1,36,New York State,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",790,95494,85024,50436,118023
1,36,New York State,25-1194,"Vocational Education Teachers, Postsecondary",4690,86859,79074,54644,102967
1,36,New York State,25-1199,"Postsecondary Teachers, All Other",2980,119384,100893,55059,151547
1,36,New York State,25-2011,"Preschool Teachers, Except Special Education",25180,51413,46816,36057,59091
1,36,New York State,25-2012,"Kindergarten Teachers, Except Special Education",7720,87442,77149,52710,104808
1,36,New York State,25-2021,"Elementary School Teachers, Except Special Education",103920,94490,84721,58666,112401
1,36,New York State,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",34830,95159,84868,62665,111407
1,36,New York State,25-2023,"Career/Technical  Education Teachers, Middle School",1560,85067,80157,53635,100783
1,36,New York State,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",76730,100385,101041,63372,118892
1,36,New York State,25-2032,"Career/Technical Education Teachers, Secondary School",6260,89862,81966,61216,104185
1,36,New York State,25-2051,"Special Education Teachers, Preschool",4460,117842,133389,60087,146719
1,36,New York State,25-2052,"Special Education Teachers, Kindergarten and Elementary School",20500,92444,82948,60762,108285
1,36,New York State,25-2057,"Special Education Teachers, Middle School",7190,95021,93766,62492,111286
1,36,New York State,25-2058,"Special Education Teachers, Secondary School",17030,96826,94331,63465,113506
1,36,New York State,25-2059,"Special Education Teachers, All Other",2970,108695,99227,56801,134642
1,36,New York State,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,2770,86676,77123,54476,102776
1,36,New York State,25-3021,Self-Enrichment Education Teachers,30970,73602,61261,40377,90215
1,36,New York State,25-3031,"Substitute Teachers, Short-Term",32910,49749,40572,35364,56942
1,36,New York State,25-3041,Tutors,12140,61753,44449,34910,75175
1,36,New York State,25-3099,"Teachers and Instructors, All Other",3080,90618,78519,42346,114752
1,36,New York State,25-4011,Archivists,900,78724,76914,52658,91757
1,36,New York State,25-4012,Curators,1270,99123,80900,49269,124050
1,36,New York State,25-4013,Museum Technicians and Conservators,1060,71850,66440,46474,84538
1,36,New York State,25-4022,Librarians and Media Collections Specialists,11020,84380,79180,55949,98594
1,36,New York State,25-4031,Library Technicians,4070,49238,47969,34341,56686
1,36,New York State,25-9021,Farm and Home Management Advisors,,52641,46508,34843,61540
1,36,New York State,25-9031,Instructional Coordinators,17210,84505,79429,53995,99760
1,36,New York State,25-9044,"Teaching Assistants, Postsecondary",14290,52014,48687,34868,60588
1,36,New York State,25-9045,"Teaching Assistants, Except Postsecondary",134590,40051,37596,32565,43794
1,36,New York State,25-9099,"Education, Training, and Library Workers, All Other",530,62898,55829,34652,77022
1,36,New York State,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",205150,109387,83178,49371,139396
1,36,New York State,27-1011,Art Directors,8300,160841,140321,90256,196132
1,36,New York State,27-1012,Craft Artists,,59470,49898,33602,72405
1,36,New York State,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",960,87066,80828,50756,105221
1,36,New York State,27-1014,Multimedia Artists and Animators,1820,115329,104951,65285,140351
1,36,New York State,27-1019,"Artists and Related Workers, All Other",,68035,56093,36498,83803
1,36,New York State,27-1021,Commercial and Industrial Designers,2140,98135,87558,62480,115963
1,36,New York State,27-1022,Fashion Designers,6600,109064,99040,63142,132024
1,36,New York State,27-1023,Floral Designers,2090,46273,45272,36789,51016
1,36,New York State,27-1024,Graphic Designers,16730,83218,76556,52747,98454
1,36,New York State,27-1025,Interior Designers,5590,79267,75633,49588,94108
1,36,New York State,27-1026,Merchandise Displayers and Window Trimmers,10720,47781,41714,35554,53895
1,36,New York State,27-1029,"Designers, All Other",990,89898,80254,60521,104586
1,36,New York State,27-2012,Producers and Directors,29720,141032,106834,66572,178263
1,36,New York State,27-2021,Athletes and Sports Competitors,400,170883,89247,73287,219681
1,36,New York State,27-2022,Coaches and Scouts,11150,65757,51582,37333,79969
1,36,New York State,27-2032,Choreographers,270,111416,96649,44685,144782
1,36,New York State,27-2041,Music Directors and Composers,1610,111939,82405,44586,145615
1,36,New York State,27-3011,Radio and Television Announcers,2050,179081,73519,39380,248932
1,36,New York State,27-3023,"News Analysts, Reporters, and Journalist",5220,301408,106628,61000,421612
1,36,New York State,27-3031,Public Relations Specialists,25780,95830,80644,54704,116395
1,36,New York State,27-3041,Editors,17410,117707,101297,63166,144979
1,36,New York State,27-3042,Technical Writers,2030,91482,85230,46337,114056
1,36,New York State,27-3091,Interpreters and Translators,3650,89166,86951,52483,107507
1,36,New York State,27-3092,Court Reporters and Simultaneous Captioners,1240,108462,112191,72541,126422
1,36,New York State,27-3099,"Media and Communication Workers, All Other",890,94272,79397,58799,112010
1,36,New York State,27-4011,Audio and Video Equipment Technicians,8700,75718,65364,45418,90869
1,36,New York State,27-4012,Broadcast Technicians,1800,87692,83178,43159,109958
1,36,New York State,27-4014,Sound Engineering Technicians,1690,96304,89553,52392,118260
1,36,New York State,27-4015,Lighting Technicians,910,91085,85462,59164,107046
1,36,New York State,27-4021,Photographers,3620,71758,59268,37643,88815
1,36,New York State,27-4031,"Camera Operators, Television, Video, and Motion Picture",3510,97946,92404,56683,118578
1,36,New York State,27-4032,Film and Video Editors,4060,113076,105237,61065,139082
1,36,New York State,27-4099,"Media and Communication Equipment Workers, All Other",,94593,91465,61180,111299
1,36,New York State,29-0000,Healthcare Practitioners and Technical Occupations,600040,118683,102608,60931,147559
1,36,New York State,29-1011,Chiropractors,1430,108382,84887,56383,134380
1,36,New York State,29-1021,"Dentists, General",7460,190633,168518,77884,247008
1,36,New York State,29-1023,Orthodontists,310,208046,107965,82198,270969
1,36,New York State,29-1024,Prosthodontists,,211085,156047,156034,238610
1,36,New York State,29-1031,Dietitians and Nutritionists,5500,82689,81470,60181,93943
1,36,New York State,29-1041,Optometrists,2500,162914,167474,119846,184449
1,36,New York State,29-1051,Pharmacists,21330,139717,140055,106583,156284
1,36,New York State,29-1071,Physician Assistants,19390,155393,156800,112175,177003
1,36,New York State,29-1081,Podiatrists,1210,138518,120408,69672,172941
1,36,New York State,29-1122,Occupational Therapists,10540,101667,97961,70872,117064
1,36,New York State,29-1123,Physical Therapists,15810,103506,102135,74194,118161
1,36,New York State,29-1124,Radiation Therapists,1140,133422,125826,96588,151839
1,36,New York State,29-1125,Recreational Therapists,1310,68069,65242,51842,76183
1,36,New York State,29-1126,Respiratory Therapists,6780,108611,106639,81945,121942
1,36,New York State,29-1127,Speech-Language Pathologists,16250,114673,111828,73813,135103
1,36,New York State,29-1128,Exercise Physiologists,,77918,75238,55500,89127
1,36,New York State,29-1129,"Therapists, All Other",990,75060,69712,54725,85228
1,36,New York State,29-1131,Veterinarians,3200,153417,134900,88670,185791
1,36,New York State,29-1141,Registered Nurses,204120,113497,108470,82326,129082
1,36,New York State,29-1151,Nurse Anesthetists,1210,273964,,184905,
1,36,New York State,29-1161,Nurse Midwives,490,142336,141610,112795,157106
1,36,New York State,29-1171,Nurse Practitioners,20430,152444,149341,116631,170350
1,36,New York State,29-1181,Audiologists,670,102425,101434,77787,114745
1,36,New York State,29-1211,Anesthesiologists,1850,269663,221598,80031,364478
1,36,New York State,29-1212,Cardiologists,2260,391687,,153406,
1,36,New York State,29-1213,Dermatologists,1400,305342,,134699,390663
1,36,New York State,29-1214,Emergency Medicine Physicians,3370,237184,,82958,314298
1,36,New York State,29-1215,Family Medicine Physicians,3190,219281,220626,105043,276400
1,36,New York State,29-1216,General Internal Medicine Physicians,11110,211041,178049,81395,275865
1,36,New York State,29-1217,Neurologists,1130,246735,220657,86565,326819
1,36,New York State,29-1218,Obstetricians and Gynecologists,2990,282189,,131917,
1,36,New York State,29-1221,"Pediatricians, General",5680,183817,159794,100372,225540
1,36,New York State,29-1222,"Physicians, Pathologists",940,230902,221598,85125,303791
1,36,New York State,29-1223,Psychiatrists,3850,239638,234794,96230,311344
1,36,New York State,29-1224,Radiologists,1950,321645,222298,84602,440167
1,36,New York State,29-1229,"Physicians, All Other",13280,262234,244171,107634,339536
1,36,New York State,29-1241,"Ophthalmologists, Except Pediatric",1020,358083,,133830,
1,36,New York State,29-1242,"Orthopedic Surgeons, Except Pediatric",1450,297779,221488,82661,405338
1,36,New York State,29-1243,Pediatric Surgeons,,412754,,246670,
1,36,New York State,29-1249,"Surgeons, All Other",4100,269779,170762,83336,363001
1,36,New York State,29-1291,Acupuncturists,,99911,96151,64485,117624
1,36,New York State,29-1292,Dental Hygienists,10350,96134,98155,72429,107986
1,36,New York State,29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",,139122,120372,78367,169499
